Country,City,Latitude,Longitude,Hemisphere,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
af,rudbar,30.15,62.6,N,56.08,27,0,1.59
am,balahovit,40.2536111,44.603888899999994,N,12.2,92,0,1.39
am,kosh,40.3072222,44.16,N,15.82,63,0,1.88
am,lukashin,40.1758333,44.0186111,N,15.89,63,0,1.25
am,sarukhan,40.2891667,45.1341667,N,12.2,92,44,4.76
am,tegh,39.5547222,46.4758333,N,38.48,73,91,4.61
an,barber,12.2833333,-69.0666667,N,77,78,20,11.5
ar,campana,-34.168742,-58.959140000000005,S,77.9,61,0,2.3
at,althofen,47.15,14.233332999999998,N,19.53,86,75,2.3
at,grieskirchen,48.233333,13.833332999999998,N,30.02,88,100,7
at,thalgau,47.833333,13.25,N,28.27,80,75,5.75
at,wolfurt,47.466667,9.75,N,30.85,75,75,13.8
au,lakes entrance,-37.878941,147.995132,S,64.99,87,91,7.72
au,newcastle,-32.927792,151.78448500000002,S,92.23,46,0,11.5
au,wonthaggi,-38.605862,145.593552,S,65.71,71,100,15.26
az,hadrut,39.520018,47.0318,N,43.09,54,100,3.18
ba,dubravica,44.4419444,18.1180556,N,32,100,75,5.75
ba,mala kladusa,45.1341667,15.858611100000001,N,27,94,16,1.57
bd,pirojpur,22.5666667,89.9833333,N,80.62,30,0,6.73
be,floreffe,50.433333000000005,4.783333,N,31.42,86,0,11.5
be,herne,50.716667,4.033333,N,37.44,100,99,1.01
be,huy,50.516667,5.233333,N,33.3,86,75,12.66
be,nijlen,51.166667,4.65,N,36.93,81,75,10.36
be,sint-amands,51.05,4.2,N,35.4,82,94,8.99
be,temse,51.133333,4.216667,N,36.12,81,75,10.36
bg,beloslav,43.1833333,27.7,N,39.09,100,40,5.08
bg,buhovo,42.7666667,23.5666667,N,38.61,81,90,6.91
bg,etropole,42.8333333,24.0,N,36.36,81,90,6.91
bi,ngozi,-2.9083333,29.8277778,S,62.13,91,98,1.14
bj,allada,6.65,2.15,N,74.68,91,28,4.74
bo,san ramon,-13.2833333,-64.7166667,S,39.36,70,1,6.91
br,agua branca,-9.283333,-37.916667,S,71.91,94,100,1.45
br,alvaraes,-3.2,-64.833333,S,72.5,97,100,1.72
br,araguacu,-12.894167,-49.773056,S,70.48,93,60,4.97
br,biritiba-mirim,-23.583333,-46.033333,S,70.3,100,20,3.44
br,cachoeirinha,-29.95,-51.083333,S,73.83,100,0,2.3
br,caete,-19.9,-43.666667,S,68.86,83,0,5.75
br,cafarnaum,-11.7,-41.466667,S,65.95,84,100,8.01
br,campos belos,-13.05,-46.883333,S,65.8,97,93,3.83
br,carauari,-4.879167,-66.89805600000001,S,72.68,96,100,0.78
br,itabaiana,-10.683333,-37.433333000000005,S,78.8,73,40,6.91
br,itanhandu,-22.3,-44.95,S,62.98,86,98,1.54
br,itapolis,-21.583333,-48.766667,S,69.75,91,100,4.92
br,lajedo,-8.383333,-36.55,S,67.68,93,100,8.41
br,maragogi,-9.016667,-35.216667,S,77.36,82,100,12.06
br,milagres,-7.283333,-38.95,S,78.8,61,75,2.3
br,missao velha,-7.25,-39.133333,S,78.8,61,75,2.3
br,mundo novo,-11.866667,-40.466667,S,67.35,95,100,3.4
br,nisia floresta,-6.066667,-35.133333,S,74.3,94,0,4.61
br,nova friburgo,-22.266667,-42.533333,S,63.03,94,98,1.63
br,nova prata,-28.783333000000002,-51.6,S,67.01,99,47,2.8
br,pederneiras,-22.383333,-48.766667,S,66,96,100,4
br,presidente bernardes,-22.05,-51.55,S,70,91,100,5.95
br,ribeirao pires,-23.716667,-46.416667,S,70.32,10,100,3.8
br,santa ines,-3.65,-45.366667,S,74.25,96,100,2.59
br,santa maria da vitoria,-13.4,-44.2,S,69.12,78,1,3.27
br,sao joao da boa vista,-21.966667,-46.783333,S,66.38,83,100,4
br,sao miguel dos campos,-9.783333,-36.083333,S,71.6,100,75,5.75
br,seropedica,-22.747222,-43.716944,S,76.12,88,0,3.71
br,sorocaba,-23.483333,-47.45,S,73,78,100,2.26
br,tamboril,-4.8333330000000005,-40.333333,S,68,95,3,4.72
br,tapejara,-28.066667,-52.0,S,63.5,99,68,3.71
br,timbiras,-4.25,-43.95,S,73.67,97,100,1.59
ca,blenheim,42.333333,-82.0,N,68.99,73,0,3
